X (mg);Y (mg);Z (mg)
-4;97;3
-18;53;-14
-44;73;13
-86;77;23
-70;57;-64
-21;-3;-99
-18;-58;-73
-9;-25;-3
-10;-37;-5
-2;-13;-7
13;38;-24
-13;107;-29
-91;113;-6
-105;89;3
-103;-6;13
-72;-57;-64
-46;-94;-43
-51;9;-42
-60;87;-74
-70;82;-73
-81;82;-45
-112;46;14
-138;73;1
-74;84;-44
-42;50;-78
-18;22;-91
-35;-63;-32
-92;-42;-34
-60;9;-67
-4;1;-59
-11;31;-38
-55;87;-62
-39;75;-64
-18;23;-44
-19;-32;-56
-70;-23;-17
-100;2;-58
-70;7;-52
-28;35;-79
1;36;-77
-43;44;-88
-84;18;-68
-62;11;-71
12;0;-57
61;0;-37
20;-19;-11
-16;-32;-75
51;18;-72
22;36;19
-72;87;-28
31;65;-74
96;-6;-76
23;-33;-43
-66;-28;-72
-3;20;-85
74;20;-33
2;-3;-96
35;-50;-76
56;-2;-3
31;54;-60
76;30;-49
78;71;-4
35;56;-50
22;-27;-58
-53;0;-61
-24;-2;-120
139;-70;-64
193;-63;3
91;-47;47
-6;11;28
36;-12;79
72;-44;2
169;21;91
169;2;-59
239;57;-21
252;-6;21
172;-13;36
58;-31;102
-5;-2;-3
133;-42;50
231;-119;-48
274;-96;73
262;-193;136
215;-218;69
182;-173;97
183;-164;38
226;-124;35
217;-156;120
151;-88;24
101;74;161
64;104;98
132;55;55
194;-77;117
165;-189;217
90;-205;176
80;-149;188
105;-61;92
105;36;105
79;-19;99
92;-87;78
115;-139;142
107;-124;129
75;-65;142
-4;-7;17
-29;76;52
7;55;51
86;-41;78
94;-88;42
71;-66;-2
68;-65;-10
71;-24;3
18;7;11
2;-62;9
32;-87;2
46;-23;52
35;84;11
80;156;9
126;114;74
68;9;-1
19;-106;82
2;-256;180
-27;-266;34
18;-108;15
89;59;42
137;201;-20
120;334;-158
193;155;144
98;-118;101
-101;-343;6
-146;-84;130
80;115;-5
277;132;-95
406;28;-169
424;4;185
260;-338;230
-40;-299;81
-185;-24;139
-146;53;2
-25;188;-116
193;175;-128
411;78;-99
434;12;-73
214;-207;309
-279;-442;268
-397;158;-14
-5;412;-135
268;111;-248
353;-74;-113
457;-185;-133
284;-293;39
25;-152;236
-153;-83;346
-230;139;283
-182;159;69
-133;23;126
-83;44;214
68;6;-22
182;-129;-143
152;-79;-249
104;-96;134
57;-42;245
67;-136;19
-99;-168;235
-193;164;-106
64;428;-418
329;517;-438
352;234;25
-34;-169;458
-603;-353;297
-586;-137;69
-99;-140;73
98;-262;-78
93;-122;-225
138;10;-349
312;172;-328
396;202;-31
216;188;2
64;222;100
-74;102;299
-234;36;169
-199;-16;-166
-28;-56;-251
73;-43;-246
117;81;-205
44;-23;26
-55;54;-30
17;75;23
-29;-132;98
-162;-92;-40
-88;16;-24
-50;-26;-28
-50;80;-147
129;16;-175
277;-28;-157
187;32;-102
-28;-11;44
-159;-98;127
-165;-39;-75
-78;72;31
9;82;-69
42;64;-94
23;-23;-62
-72;-20;27
-124;-19;23
-80;-58;33
13;-20;-17
109;42;-92
62;-12;-32
-16;19;-74
72;62;-77
50;-108;102
-89;-2;45
-107;34;19
9;18;-3
54;-13;-61
24;23;-73
-10;31;-2
-46;93;-40
-28;101;-85
-28;-8;48
-117;-60;38
-99;-3;12
-15;0;16
13;-2;-38
50;-69;-103
64;-89;-73
45;-54;-67
2;-56;7
-79;-6;15
-60;39;6
-34;43;27
-27;96;3
-29;82;-10
-69;34;-46
-12;17;-111
22;-62;-13
-20;-42;-33
1;-20;2
36;-47;93
-18;-86;83
-55;-12;-16
23;45;-48
68;64;-28
1;97;-49
-5;59;-10
-24;-32;46
-38;-56;-16
7;-33;-16
20;8;17
-21;13;-23
-22;-17;-38
-15;-34;13
-52;-27;-9
-35;-2;-64
30;33;-62
34;57;-26
15;60;-15
-19;19;13
-38;12;-20
-28;-14;0
-23;-41;27
-19;-17;-22
-4;-8;-34
-12;-13;-11
-28;-9;-19
-9;-4;-22
-2;3;9
-19;8;6
-22;0;9
-43;-24;15
-46;-10;-42
15;16;-23
36;20;-9
15;-2;-18
2;-21;-5
-32;-24;4
-44;-12;2
-41;-3;22
-69;-6;-4
-34;-18;-20
16;-20;10
2;-23;3
-1;-16;-37
5;-9;-8
-3;10;0
18;20;-18
33;10;-11
35;22;-18
35;19;-10
26;3;5
-7;-15;30
-33;-18;17
-11;-12;-8
35;6;-21
50;13;-22
22;14;-12
22;14;-12
2;-3;-14
-15;-12;6
-23;3;2
-8;7;0
-14;2;-15
-4;-16;-30
-13;-34;5
-54;-10;-19
-7;32;-45
32;30;3
-17;30;-3
-33;23;-33
-21;0;8
-58;-12;2
-69;-16;-28
-41;-3;-6
-25;1;-7
-3;-5;-14
13;-17;0
-2;-3;12
-9;10;11
-21;23;8
-24;39;6
-18;42;12
-14;15;-11
-4;-9;-11
-4;-16;-11
0;-22;-16
8;-16;-28
6;-9;-4
-11;1;12
-19;-5;-15
-15;1;-23
-7;25;-37
8;26;-54
6;3;-25
-30;-16;-2
-48;-31;-9
-39;-10;-8
-33;15;-1
-18;29;-5
7;33;-12
17;25;8
1;12;18
-31;10;10
-45;-3;2
-54;-2;4
-44;2;-36
-13;33;-42
4;44;-18
-9;19;-14
-10;-2;-8
-15;7;-1
-23;21;-11
-24;15;-9
-43;1;-20
-36;-6;-44
-8;-19;-17
-19;6;-5
-30;36;-33
-6;9;-38
11;13;-12
-7;44;-31
-4;33;-42
8;11;2
-26;-14;15
-64;-13;22
-81;-6;22
-71;24;-1
-34;27;-34
-37;19;-37
-46;34;-14
-31;17;-19
-44;-21;-2
-28;-7;-7
